"id","name","shortName","path","code"
"xZmHtrqwcH3","60605 Aathbis Municipality","Aathbis Municipality","/cCTQiGkKcTk/fvN7GZvNAOB/ycBkX3TlIrL/xZmHtrqwcH3","60605"
"MzEDM95lVfr","60606 Chamunda Bindrasaini Municipality","Chamunda Bindrasaini Municipality","/cCTQiGkKcTk/fvN7GZvNAOB/ycBkX3TlIrL/MzEDM95lVfr","60606"
"kdougX7vIet","60607 Dullu Municipality","Dullu Municipality","/cCTQiGkKcTk/fvN7GZvNAOB/ycBkX3TlIrL/kdougX7vIet","60607"
"TYaXBMXX7nl","60608 Narayan Municipality","Narayan Municipality","/cCTQiGkKcTk/fvN7GZvNAOB/ycBkX3TlIrL/TYaXBMXX7nl","60608"
"upTIN1Trha0","60609 Bhagawatimai Rural Municipality","Bhagawatimai Rural Municipality","/cCTQiGkKcTk/fvN7GZvNAOB/ycBkX3TlIrL/upTIN1Trha0","60609"
"B1q1jJMuzSo","60610 Dungeshwor Rural Municipality","Dungeshwor Rural Municipality","/cCTQiGkKcTk/fvN7GZvNAOB/ycBkX3TlIrL/B1q1jJMuzSo","60610"
"IJwWcZ3Smdq","60611 Gurans Rural Municipality","Gurans Rural Municipality","/cCTQiGkKcTk/fvN7GZvNAOB/ycBkX3TlIrL/IJwWcZ3Smdq","60611"
"YrCAQvqFSFi","60701 Barekot Rural Municipality","Barekot Rural Municipality","/cCTQiGkKcTk/fvN7GZvNAOB/P53hVYydxdc/YrCAQvqFSFi","60701"
"vn8qhmMp7ph","60702 Kuse Rural Municipality","Kuse Rural Municipality","/cCTQiGkKcTk/fvN7GZvNAOB/P53hVYydxdc/vn8qhmMp7ph","60702"
"FW7FzPv4KXM","60703 Junichande Rural Municipality","Junichande Rural Municipality","/cCTQiGkKcTk/fvN7GZvNAOB/P53hVYydxdc/FW7FzPv4KXM","60703"
"x8G6UV6hIbe","60704 Chhedagad Municipality","Chhedagad Municipality","/cCTQiGkKcTk/fvN7GZvNAOB/P53hVYydxdc/x8G6UV6hIbe","60704"
"A0M7yWhXSEE","60705 Shivalaya Rural Municipality","Shivalaya Rural Municipality","/cCTQiGkKcTk/fvN7GZvNAOB/P53hVYydxdc/A0M7yWhXSEE","60705"
"mhJDOp22gkO","60706 Bheri Municipality","Bheri Municipality","/cCTQiGkKcTk/fvN7GZvNAOB/P53hVYydxdc/mhJDOp22gkO","60706"
"HxZFAUdkmSq","60707 Nalagad Municipality","Nalagad Municipality","/cCTQiGkKcTk/fvN7GZvNAOB/P53hVYydxdc/HxZFAUdkmSq","60707"
"XJBL0CSQyqH","60801 Aathabisakot Municipality","Aathabisakot Municipality","/cCTQiGkKcTk/fvN7GZvNAOB/BITtrV4c0xf/XJBL0CSQyqH","60801"
"lfvPvTzR3Kt","60802 Sanibheri Rural Municipality","Sanibheri Rural Municipality","/cCTQiGkKcTk/fvN7GZvNAOB/BITtrV4c0xf/lfvPvTzR3Kt","60802"
"FnQX929N8kc","60803 Banphikot Rural Municipality","Banphikot Rural Municipality","/cCTQiGkKcTk/fvN7GZvNAOB/BITtrV4c0xf/FnQX929N8kc","60803"
"udhEfsRJE0r","60804 Musikot Municipality","Musikot Municipality","/cCTQiGkKcTk/fvN7GZvNAOB/BITtrV4c0xf/udhEfsRJE0r","60804"
"JXNsFanZyrp","60805 Tribeni Rural Municipality","Tribeni Rural Municipality","/cCTQiGkKcTk/fvN7GZvNAOB/BITtrV4c0xf/JXNsFanZyrp","60805"
"ON8h8G5JK6h","60806 Chaurjahari Municipality","Chaurjahari Municipality","/cCTQiGkKcTk/fvN7GZvNAOB/BITtrV4c0xf/ON8h8G5JK6h","60806"
"HXgxCcAIbhS","60901 Darma Rural Municipality","Darma Rural Municipality","/cCTQiGkKcTk/fvN7GZvNAOB/HL5fSUsp2vJ/HXgxCcAIbhS","60901"
"eAdrPiTtmhE","60902 Kumakh Rural Municipality","Kumakh Malika Municipality","/cCTQiGkKcTk/fvN7GZvNAOB/HL5fSUsp2vJ/eAdrPiTtmhE","60902"
"E3jE9arhqvd","60903 Banagad Kupinde Municipality","Banagad Kupinde Municipality","/cCTQiGkKcTk/fvN7GZvNAOB/HL5fSUsp2vJ/E3jE9arhqvd","60903"
"if6E8fKPpZJ","60904 Siddha Kumakh Rural Municipality","Siddha Kumakh Rural Municipality","/cCTQiGkKcTk/fvN7GZvNAOB/HL5fSUsp2vJ/if6E8fKPpZJ","60904"
"vOAAQWchu33","60905 Bagachour Municipality","Bagachour Municipality","/cCTQiGkKcTk/fvN7GZvNAOB/HL5fSUsp2vJ/vOAAQWchu33","60905"
"IuhDjmEnWme","60906 Chhatreshwori Rural Municipality","Chhatreshwori Rural Municipality","/cCTQiGkKcTk/fvN7GZvNAOB/HL5fSUsp2vJ/IuhDjmEnWme","60906"
"x9TFkDJyQbt","60907 Sharada Municipality","Sharada Municipality","/cCTQiGkKcTk/fvN7GZvNAOB/HL5fSUsp2vJ/x9TFkDJyQbt","60907"
"iDN6TSaZZFU","60908 Kalimati Rural Municipality","Kalimati Rural Municipality","/cCTQiGkKcTk/fvN7GZvNAOB/HL5fSUsp2vJ/iDN6TSaZZFU","60908"
"kyOocfmrOei","60909 Tribeni Rural Municipality","Tribeni Rural Municipality","/cCTQiGkKcTk/fvN7GZvNAOB/HL5fSUsp2vJ/kyOocfmrOei","60909"
"olbtbHw2fT8","60910 Kapurkot Rural Municipality","Kapurkot Rural Municipality","/cCTQiGkKcTk/fvN7GZvNAOB/HL5fSUsp2vJ/olbtbHw2fT8","60910"
"ZjTMit6BH52","61001 Simta Rural Municipality","Simta Rural Municipality","/cCTQiGkKcTk/fvN7GZvNAOB/kBRVmS9IKRE/ZjTMit6BH52","61001"
"hWwQdwjQikK","61002 Chingad Rural Municipality","Chingad Rural Municipality","/cCTQiGkKcTk/fvN7GZvNAOB/kBRVmS9IKRE/hWwQdwjQikK","61002"
"AWIh6Khl1v3","61003 Lekabeshi Municipality","Lekabeshi Municipality","/cCTQiGkKcTk/fvN7GZvNAOB/kBRVmS9IKRE/AWIh6Khl1v3","61003"
"kfXpzGLJqtq","61004 Gurbhakot Municipality","Gurbhakot Municipality","/cCTQiGkKcTk/fvN7GZvNAOB/kBRVmS9IKRE/kfXpzGLJqtq","61004"
"PjkAYw0M8s9","61005 Bheriganga Municipality","Bheriganga Municipality","/cCTQiGkKcTk/fvN7GZvNAOB/kBRVmS9IKRE/PjkAYw0M8s9","61005"
"ItuhK7FfBhx","61006 Birendranagar Municipality","Birendranagar Municipality","/cCTQiGkKcTk/fvN7GZvNAOB/kBRVmS9IKRE/ItuhK7FfBhx","61006"
"Bc5MkPkp7b2","61007 Barahatal Rural Municipality","Barahatal Rural Municipality","/cCTQiGkKcTk/fvN7GZvNAOB/kBRVmS9IKRE/Bc5MkPkp7b2","61007"
"VBe1utpoMY6","61008 Panchapuri Municipality","Panchapuri Municipality","/cCTQiGkKcTk/fvN7GZvNAOB/kBRVmS9IKRE/VBe1utpoMY6","61008"
"ekqIpRijlJ5","61009 Chaukune Rural Municipality","Chaukune Rural Municipality","/cCTQiGkKcTk/fvN7GZvNAOB/kBRVmS9IKRE/ekqIpRijlJ5","61009"
"aTZcDT4w3Ml","70101 Himali Rural Municipality","Himali Rural Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/vjL1uSC10Jh/aTZcDT4w3Ml","70101"
"WN5DP9gOQFW","70102 Gaumul Rural Municipality","Gaumul Rural Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/vjL1uSC10Jh/WN5DP9gOQFW","70102"
"VMWLWm22iz5","70103 Budhinanda Municipality","Budhinanda Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/vjL1uSC10Jh/VMWLWm22iz5","70103"
"dEtwSiS6KNj","70104 Swami Kartik Rural Municipality","Swami Kartik Rural Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/vjL1uSC10Jh/dEtwSiS6KNj","70104"
"nvLzTZY0Ihm","70105 Jagannath Rural Municipality","Jagannath Rural Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/vjL1uSC10Jh/nvLzTZY0Ihm","70105"
"yIMq6Cqon1V","70106 Badimalika Municipality","Badimalika Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/vjL1uSC10Jh/yIMq6Cqon1V","70106"
"tUOPTUihUk9","70107 Khaptad Chhededaha Rural Municipality","Khaptad Chhededaha Rural Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/vjL1uSC10Jh/tUOPTUihUk9","70107"
"c8KxkF0tS5o","70108 Budhiganga Municipality","Budhiganga Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/vjL1uSC10Jh/c8KxkF0tS5o","70108"
"UwdMA5hDFCB","70109 Tribeni Municipality","Tribeni Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/vjL1uSC10Jh/UwdMA5hDFCB","70109"
"pUXnbh3LFwx","70201 Saipal Rural Municipality","Kanda Rural Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/JBTkOU5m0Bu/pUXnbh3LFwx","70201"
"yBNQa3DDCMV","70202 Bungal Municipality","Bungal Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/JBTkOU5m0Bu/yBNQa3DDCMV","70202"
"OkEamk072ao","70203 Surma Rural Municipality","Surma Rural Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/JBTkOU5m0Bu/OkEamk072ao","70203"
"uyvw1s0w1rY","70204 Talkot Rural Municipality","Talkot Rural Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/JBTkOU5m0Bu/uyvw1s0w1rY","70204"
"QIsyvppylxo","70205 Masta Rural Municipality","Masta Rural Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/JBTkOU5m0Bu/QIsyvppylxo","70205"
"CEE78o1Vs3o","70206 Jayaprithbi Municipality","Jayaprithbi Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/JBTkOU5m0Bu/CEE78o1Vs3o","70206"
"hehIZAJVZtd","70207 Chhabis Pathibhara Rural Municipality","Chhabis Pathibhara Rural Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/JBTkOU5m0Bu/hehIZAJVZtd","70207"
"Q9Tez14GQoi","70208 Durgathali Rural Municipality","Durgathali Rural Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/JBTkOU5m0Bu/Q9Tez14GQoi","70208"
"RAnQGp6ruMy","70209 Kedarsyun Rural Municipality","Kedarsyun Rural Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/JBTkOU5m0Bu/RAnQGp6ruMy","70209"
"YOLKVYyNcpT","70210 Bitthadchir Rural Municipality","Bitthadchir Rural Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/JBTkOU5m0Bu/YOLKVYyNcpT","70210"
"d3rNnxwAscv","70211 Thalara Rural Municipality","Thalara Rural Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/JBTkOU5m0Bu/d3rNnxwAscv","70211"
"RJLKneQiNQQ","70212 Khaptad Chhanna Rural Municipality","Khaptad Chhanna Rural Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/JBTkOU5m0Bu/RJLKneQiNQQ","70212"
"dhBrAUPY3Jt","70301 Byas Rural Municipality","Byas Rural Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/BywOwm8jUhf/dhBrAUPY3Jt","70301"
"NeZFY1za0tu","70302 Duhun Rural Municipality","Duhun Rural Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/BywOwm8jUhf/NeZFY1za0tu","70302"
"eP90MO7oR6J","70303 Mahakali Municipality","Mahakali Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/BywOwm8jUhf/eP90MO7oR6J","70303"
"rwtuzQ0Hl9y","70304 Naugad  Rural Municipality","Naugad  Rural Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/BywOwm8jUhf/rwtuzQ0Hl9y","70304"
"wBmsLGhrv9S","70305 Apihimal Rural Municipality","Apihimal Rural Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/BywOwm8jUhf/wBmsLGhrv9S","70305"
"MPVGGKIA6G4","70306 Marma Rural Municipality","Marma Rural Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/BywOwm8jUhf/MPVGGKIA6G4","70306"
"uR77y1RFLcN","70307 Shailyashikhar Municipality","Shailyashikhar Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/BywOwm8jUhf/uR77y1RFLcN","70307"
"JlEwd2MMRwF","70308 Malikarjun Rural Municipality","Malikarjun Rural Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/BywOwm8jUhf/JlEwd2MMRwF","70308"
"zqnuKR0JAhJ","70309 Lekam Rural Municipality","Lekam Rural Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/BywOwm8jUhf/zqnuKR0JAhJ","70309"
"oIRLgE4GiPP","70401 Dilasaini Rural Municipality","Dilasaini Rural Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/NSLL7YIXBJH/oIRLgE4GiPP","70401"
"Kb3XH1U4Vqw","70402 Dogada Kedar Rural Municipality","Dogada Kedar Rural Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/NSLL7YIXBJH/Kb3XH1U4Vqw","70402"
"RYcEcFRtMjF","70403 Puchaundi Municipality","Puchaundi Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/NSLL7YIXBJH/RYcEcFRtMjF","70403"
"ONTOB5B6FXB","70404 Surnaya Rural Municipality","Surnaya Rural Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/NSLL7YIXBJH/ONTOB5B6FXB","70404"
"dG2LBoWixMr","70405 Dasharathchand Municipality","Dasharathchand Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/NSLL7YIXBJH/dG2LBoWixMr","70405"
"mhznFRYIMOj","70406 Pancheshwor Rural Municipality","Pancheshwor Rural Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/NSLL7YIXBJH/mhznFRYIMOj","70406"
"iCoo4jo8gb7","70407 Shivanath Rural Municipality","Shivanath Rural Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/NSLL7YIXBJH/iCoo4jo8gb7","70407"
"A4PA29cyQWN","70408 Melauli Municipality","Melauli Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/NSLL7YIXBJH/A4PA29cyQWN","70408"
"KpxC0mcU69H","70409 Patan Municipality","Patan Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/NSLL7YIXBJH/KpxC0mcU69H","70409"
"nJjfVfRRwiA","70410 Sigas Rural Municipality","Sigas Rural Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/NSLL7YIXBJH/nJjfVfRRwiA","70410"
"bl3DkjJEtPX","70501 Nawadurga Rural Municipality","Nawadurga Rural Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/uyGkoQ4F9rT/bl3DkjJEtPX","70501"
"xqSNZN2Y5M6","70502 Amargadhi Municipality","Amargadhi Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/uyGkoQ4F9rT/xqSNZN2Y5M6","70502"
"SZT19NLKHSO","70503 Ajayameru Rural Municipality","Ajayameru Rural Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/uyGkoQ4F9rT/SZT19NLKHSO","70503"
"J8Rvhw4Whks","70504 Bhageshwor Rural Municipality","Bhageshwor Rural Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/uyGkoQ4F9rT/J8Rvhw4Whks","70504"
"lAyJC7MtKl6","70505 Parashuram Municipality","Parashuram Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/uyGkoQ4F9rT/lAyJC7MtKl6","70505"
"q92qiDR9n1u","70506 Aalital Rural Municipality","Aalital Rural Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/uyGkoQ4F9rT/q92qiDR9n1u","70506"
"TqbInE7SzD9","70507 Ganyapdhura Rural Municipality","Ganyapdhura Rural Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/uyGkoQ4F9rT/TqbInE7SzD9","70507"
"sjHpWIiUjdQ","70601 Purbichouki Rural Municipality","Purbichouki Rural Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/HkwA8YQgJK6/sjHpWIiUjdQ","70601"
"rJiz16288V1","70602 Sayal Rural Municipality","Sayal Rural Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/HkwA8YQgJK6/rJiz16288V1","70602"
"kNVwRd9KUhN","70603 Aadarsha Rural Municipality","Aadarsha Rural Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/HkwA8YQgJK6/kNVwRd9KUhN","70603"
"etsLClmlGvE","70604 Shikhar Municipality","Shikhar Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/HkwA8YQgJK6/etsLClmlGvE","70604"
"BVIoUYtmRMk","70605 Dipayal Silgadhi Municipality","Dipayal Silgadhi Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/HkwA8YQgJK6/BVIoUYtmRMk","70605"
"jIKgcfk3d4I","70606 K.I. Singh Rural Municipality","K.I. Singh Rural Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/HkwA8YQgJK6/jIKgcfk3d4I","70606"
"k5Ig12XBeut","70607 Bogatan Rural Municipality","Bogatan Rural Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/HkwA8YQgJK6/k5Ig12XBeut","70607"
"zhcnfhX1HNv","70608 Badi Kedar Rural Municipality","Badi Kedar Rural Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/HkwA8YQgJK6/zhcnfhX1HNv","70608"
"MGHrhNDK1Un","70609 Jorayal Rural Municipality","Jorayal Rural Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/HkwA8YQgJK6/MGHrhNDK1Un","70609"
"A3882Q3TkHF","70701 Panchdebal Binayak Municipality","Panchdebal Binayak Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/GnpIwWbdxdl/A3882Q3TkHF","70701"
"iwHZRehENDP","70702 Ramaroshan Rural Municipality","Ramaroshan Rural Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/GnpIwWbdxdl/iwHZRehENDP","70702"
"pneopnkujAY","70703 Mellekh Rural Municipality","Mellekh Rural Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/GnpIwWbdxdl/pneopnkujAY","70703"
"qIfetL3gOAD","70704 Sanphebagar Municipality","Sanphebagar Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/GnpIwWbdxdl/qIfetL3gOAD","70704"
"lvgQNGCBZLM","70705 Chaurpati Rural Municipality","Chaurpati Rural Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/GnpIwWbdxdl/lvgQNGCBZLM","70705"
"c8wtEQShCEN","70706 Mangalsen Municipality","Mangalsen Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/GnpIwWbdxdl/c8wtEQShCEN","70706"
"dOTm9tn1TvO","70707 Bannigadhi Jayagadh Rural Municipality","Bannigadhi Jayagadh Rural Municipality","/cCTQiGkKcTk/wtU6v09Kbe0/GnpIwWbdxdl/dOTm9tn1TvO","70707"
